Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
2004,0.54,0.66,0.42,0.73,0.54,0.34,0.47,0.96,0.67,0.56,0.52,0.48,0.24,0.1
2005,0.68,0.86,0.5,1.02,0.61,0.42,1.99,1.23,0.57,0.62,0.6,0.49,0.19,0.71
2006,0.64,0.82,0.46,0.99,0.55,0.4,1.73,1.06,0.71,0.56,0.53,0.51,0.2,0.45
2007,0.66,0.85,0.46,1.13,0.45,0.46,2.12,1.32,0.69,0.44,0.46,0.5,0.08,1.18
2008,0.54,0.68,0.4,0.92,0.37,0.39,1.53,1.08,0.62,0.33,0.4,0.53,0.09,0.56
2009,0.65,0.72,0.58,0.78,0.67,0.5,1.43,0.6,0.69,0.64,0.69,0.6,0.15,0.91
2010,0.72,0.9,0.54,1.03,0.67,0.48,2.22,0.87,0.75,0.71,0.63,0.63,0.21,0.5
2011,0.6,0.74,0.45,0.99,0.36,0.54,2.35,0.94,0.58,0.38,0.33,0.64,0.18,0.97
2012,0.64,0.81,0.47,1.04,0.51,0.4,2.2,0.93,0.74,0.47,0.55,0.56,0.2,0.28
2013,0.68,0.8,0.56,0.95,0.57,0.56,1.56,1.05,0.7,0.57,0.56,0.63,0.23,1.01
2014,0.74,0.92,0.57,1.07,0.66,0.52,2.05,1.12,0.73,0.68,0.63,0.72,0.18,0.57
2015,0.9,1.17,0.63,1.32,0.95,0.41,2.01,1.47,1,0.97,0.92,0.75,0.18,-0.33
2016,1.01,1.3,0.73,1.55,1,0.5,3.25,1.43,1.08,0.95,1.05,0.67,0.26,0.44
2017,0.92,1.17,0.67,1.39,0.81,0.61,2.52,1.37,1.04,0.86,0.75,0.76,0.35,0.59
2018,0.85,1.04,0.66,1.25,0.66,0.69,2.16,1.09,1.06,0.72,0.61,0.8,0.38,0.96
